PLAYER_NAME,TEAM_NAME,Category,Category_Value,Shots,Points,xP,Overperformance,xP_per_Shot,Overperf_per_Shot,GamesPlayed
A.J. Lawson,Toronto Raptors,Overall,Overall,190,193,219.79,-26.79,1.1568,-0.141,25
A.J. Lawson,Toronto Raptors,Shot_Type,Dunk,14,22,24.46,-2.46,1.7473,-0.1759,25
A.J. Lawson,Toronto Raptors,Shot_Type,Jump Shot,101,99,111.56,-12.56,1.1046,-0.1244,25
A.J. Lawson,Toronto Raptors,Shot_Type,Layup,70,72,78.96,-6.96,1.128,-0.0995,25
A.J. Lawson,Toronto Raptors,Shot_Zone,Above the Break 3,65,66,70.2,-4.2,1.0799,-0.0646,25
A.J. Lawson,Toronto Raptors,Shot_Zone,In The Paint (Non-RA),17,14,14.18,-0.18,0.8339,-0.0103,25
A.J. Lawson,Toronto Raptors,Shot_Zone,Left Corner 3,21,24,24.19,-0.19,1.1517,-0.0089,25
A.J. Lawson,Toronto Raptors,Shot_Zone,Restricted Area,69,78,91.57,-13.57,1.3272,-0.1967,25
A.J. Lawson,Toronto Raptors,Shot_Zone,Right Corner 3,15,9,17.18,-8.18,1.1453,-0.5453,25
AJ Green,Milwaukee Bucks,Overall,Overall,424,519,451.98,67.02,1.066,0.1581,72
AJ Green,Milwaukee Bucks,Shot_Type,Fadeaway,7,6,6.11,-0.11,0.8723,-0.0152,72
AJ Green,Milwaukee Bucks,Shot_Type,Jump Shot,404,497,426.71,70.29,1.0562,0.174,72
AJ Green,Milwaukee Bucks,Shot_Type,Layup,13,16,19.16,-3.16,1.4739,-0.2431,72
AJ Green,Milwaukee Bucks,Shot_Zone,Above the Break 3,248,285,262.51,22.49,1.0585,0.0907,72
AJ Green,Milwaukee Bucks,Shot_Zone,In The Paint (Non-RA),11,12,10.0,2.0,0.9089,0.182,72
AJ Green,Milwaukee Bucks,Shot_Zone,Left Corner 3,48,69,55.57,13.43,1.1578,0.2797,72
AJ Green,Milwaukee Bucks,Shot_Zone,Mid-Range,37,26,30.61,-4.61,0.8273,-0.1245,72
AJ Green,Milwaukee Bucks,Shot_Zone,Restricted Area,13,16,19.16,-3.16,1.4739,-0.2431,72
AJ Green,Milwaukee Bucks,Shot_Zone,Right Corner 3,64,108,73.93,34.07,1.1551,0.5324,72
AJ Johnson,"Milwaukee Bucks, Washington Wizards",Overall,Overall,213,188,230.39,-42.39,1.0816,-0.199,28
AJ Johnson,"Milwaukee Bucks, Washington Wizards",Shot_Type,Dunk,21,30,34.54,-4.54,1.6448,-0.2162,28
AJ Johnson,"Milwaukee Bucks, Washington Wizards",Shot_Type,Floater,5,8,4.43,3.57,0.886,0.714,28
AJ Johnson,"Milwaukee Bucks, Washington Wizards",Shot_Type,Jump Shot,95,74,97.27,-23.27,1.0239,-0.245,28
AJ Johnson,"Milwaukee Bucks, Washington Wizards",Shot_Type,Layup,90,76,92.37,-16.37,1.0264,-0.1819,28
AJ Johnson,"Milwaukee Bucks, Washington Wizards",Shot_Zone,Above the Break 3,76,57,78.64,-21.64,1.0348,-0.2848,28
AJ Johnson,"Milwaukee Bucks, Washington Wizards",Shot_Zone,In The Paint (Non-RA),39,24,30.72,-6.72,0.7878,-0.1724,28
AJ Johnson,"Milwaukee Bucks, Washington Wizards",Shot_Zone,Left Corner 3,6,6,6.96,-0.96,1.16,-0.16,28
AJ Johnson,"Milwaukee Bucks, Washington Wizards",Shot_Zone,Mid-Range,5,2,4.32,-2.32,0.8635,-0.4635,28
AJ Johnson,"Milwaukee Bucks, Washington Wizards",Shot_Zone,Restricted Area,79,90,102.37,-12.37,1.2958,-0.1566,28
AJ Johnson,"Milwaukee Bucks, Washington Wizards",Shot_Zone,Right Corner 3,6,9,6.66,2.34,1.11,0.39,28
Aaron Gordon,Denver Nuggets,Overall,Overall,497,603,583.7,19.3,1.1744,0.0388,51
Aaron Gordon,Denver Nuggets,Shot_Type,Dunk,70,126,124.17,1.83,1.7739,0.0261,51
Aaron Gordon,Denver Nuggets,Shot_Type,Fadeaway,38,36,33.46,2.54,0.8805,0.0669,51
Aaron Gordon,Denver Nuggets,Shot_Type,Floater,6,6,5.53,0.47,0.9214,0.0786,51
Aaron Gordon,Denver Nuggets,Shot_Type,Hook Shot,6,6,6.1,-0.1,1.0174,-0.0174,51
Aaron Gordon,Denver Nuggets,Shot_Type,Jump Shot,208,257,222.04,34.96,1.0675,0.1681,51
Aaron Gordon,Denver Nuggets,Shot_Type,Layup,169,172,192.4,-20.4,1.1385,-0.1207,51
Aaron Gordon,Denver Nuggets,Shot_Zone,Above the Break 3,106,132,115.25,16.75,1.0872,0.158,51
Aaron Gordon,Denver Nuggets,Shot_Zone,In The Paint (Non-RA),58,48,50.82,-2.82,0.8762,-0.0486,51
Aaron Gordon,Denver Nuggets,Shot_Zone,Left Corner 3,38,51,44.39,6.61,1.1683,0.1738,51
Aaron Gordon,Denver Nuggets,Shot_Zone,Mid-Range,52,52,44.39,7.61,0.8537,0.1463,51
Aaron Gordon,Denver Nuggets,Shot_Zone,Restricted Area,215,278,297.47,-19.47,1.3836,-0.0905,51
Aaron Gordon,Denver Nuggets,Shot_Zone,Right Corner 3,27,42,31.36,10.64,1.1615,0.394,51
Aaron Holiday,Houston Rockets,Overall,Overall,268,306,272.68,33.32,1.0175,0.1243,58
Aaron Holiday,Houston Rockets,Shot_Type,Floater,27,30,23.01,6.99,0.8522,0.2589,58
Aaron Holiday,Houston Rockets,Shot_Type,Jump Shot,200,234,208.57,25.43,1.0428,0.1272,58
Aaron Holiday,Houston Rockets,Shot_Type,Layup,37,42,37.49,4.51,1.0132,0.1219,58
Aaron Holiday,Houston Rockets,Shot_Zone,Above the Break 3,144,165,151.14,13.86,1.0496,0.0963,58
Aaron Holiday,Houston Rockets,Shot_Zone,In The Paint (Non-RA),43,36,36.2,-0.2,0.8418,-0.0045,58
Aaron Holiday,Houston Rockets,Shot_Zone,Left Corner 3,24,39,27.66,11.34,1.1524,0.4726,58
Aaron Holiday,Houston Rockets,Shot_Zone,Mid-Range,22,22,17.54,4.46,0.7972,0.2028,58
Aaron Holiday,Houston Rockets,Shot_Zone,Restricted Area,22,32,26.51,5.49,1.2052,0.2493,58
Aaron Holiday,Houston Rockets,Shot_Zone,Right Corner 3,12,12,13.61,-1.61,1.1344,-0.1344,58
Aaron Nesmith,Indiana Pacers,Overall,Overall,379,468,415.4,52.6,1.0961,0.1388,45
Aaron Nesmith,Indiana Pacers,Shot_Type,Dunk,16,22,28.06,-6.06,1.7535,-0.3785,45
Aaron Nesmith,Indiana Pacers,Shot_Type,Fadeaway,8,8,7.11,0.89,0.8891,0.1109,45
Aaron Nesmith,Indiana Pacers,Shot_Type,Floater,25,30,21.87,8.13,0.8749,0.3251,45
Aaron Nesmith,Indiana Pacers,Shot_Type,Jump Shot,224,274,243.29,30.71,1.0861,0.1371,45
Aaron Nesmith,Indiana Pacers,Shot_Type,Layup,106,134,115.07,18.93,1.0856,0.1786,45
Aaron Nesmith,Indiana Pacers,Shot_Zone,Above the Break 3,117,135,127.08,7.92,1.0862,0.0677,45
Aaron Nesmith,Indiana Pacers,Shot_Zone,In The Paint (Non-RA),51,50,42.42,7.58,0.8318,0.1486,45
Aaron Nesmith,Indiana Pacers,Shot_Zone,Left Corner 3,36,48,42.02,5.98,1.1673,0.166,45
Aaron Nesmith,Indiana Pacers,Shot_Zone,Mid-Range,33,30,28.01,1.99,0.8489,0.0602,45
Aaron Nesmith,Indiana Pacers,Shot_Zone,Restricted Area,100,136,126.85,9.15,1.2685,0.0915,45
Aaron Nesmith,Indiana Pacers,Shot_Zone,Right Corner 3,42,69,49.01,19.99,1.167,0.4759,45
Aaron Wiggins,Oklahoma City Thunder,Overall,Overall,728,840,813.46,26.54,1.1174,0.0365,75
Aaron Wiggins,Oklahoma City Thunder,Shot_Type,Dunk,20,34,35.42,-1.42,1.7708,-0.0708,75
Aaron Wiggins,Oklahoma City Thunder,Shot_Type,Fadeaway,24,22,21.6,0.4,0.9001,0.0166,75
Aaron Wiggins,Oklahoma City Thunder,Shot_Type,Floater,50,38,45.5,-7.5,0.91,-0.15,75
Aaron Wiggins,Oklahoma City Thunder,Shot_Type,Hook Shot,7,6,6.29,-0.29,0.8992,-0.042,75
Aaron Wiggins,Oklahoma City Thunder,Shot_Type,Jump Shot,369,412,399.6,12.4,1.0829,0.0336,75
Aaron Wiggins,Oklahoma City Thunder,Shot_Type,Layup,258,328,305.05,22.95,1.1824,0.089,75
Aaron Wiggins,Oklahoma City Thunder,Shot_Zone,Above the Break 3,222,267,240.27,26.73,1.0823,0.1204,75
Aaron Wiggins,Oklahoma City Thunder,Shot_Zone,In The Paint (Non-RA),113,90,96.37,-6.37,0.8529,-0.0564,75
Aaron Wiggins,Oklahoma City Thunder,Shot_Zone,Left Corner 3,72,72,82.73,-10.73,1.149,-0.149,75
Aaron Wiggins,Oklahoma City Thunder,Shot_Zone,Mid-Range,36,28,30.02,-2.02,0.8339,-0.0561,75
Aaron Wiggins,Oklahoma City Thunder,Shot_Zone,Restricted Area,240,332,313.1,18.9,1.3046,0.0787,75
Aaron Wiggins,Oklahoma City Thunder,Shot_Zone,Right Corner 3,44,51,50.94,0.06,1.1578,0.0013,75
Adam Flagler,Oklahoma City Thunder,Overall,Overall,96,64,100.76,-36.76,1.0496,-0.383,27
Adam Flagler,Oklahoma City Thunder,Shot_Type,Floater,5,0,4.47,-4.47,0.8939,-0.8939,27
Adam Flagler,Oklahoma City Thunder,Shot_Type,Jump Shot,82,52,85.73,-33.73,1.0455,-0.4113,27
Adam Flagler,Oklahoma City Thunder,Shot_Type,Layup,7,8,8.87,-0.87,1.2676,-0.1248,27
Adam Flagler,Oklahoma City Thunder,Shot_Zone,Above the Break 3,63,42,67.07,-25.07,1.0645,-0.3979,27
Adam Flagler,Oklahoma City Thunder,Shot_Zone,In The Paint (Non-RA),8,4,7.05,-3.05,0.8809,-0.3809,27
Adam Flagler,Oklahoma City Thunder,Shot_Zone,Left Corner 3,5,0,5.67,-5.67,1.1341,-1.1341,27
Adam Flagler,Oklahoma City Thunder,Shot_Zone,Mid-Range,10,10,8.35,1.65,0.8352,0.1648,27
Adam Flagler,Oklahoma City Thunder,Shot_Zone,Restricted Area,6,8,8.12,-0.12,1.353,-0.0197,27
Adama Sanogo,Chicago Bulls,Overall,Overall,7,8,9.07,-1.07,1.2956,-0.1527,3
Adama Sanogo,Chicago Bulls,Shot_Zone,Restricted Area,5,6,7.39,-1.39,1.4773,-0.2773,3
Adem Bona,Philadelphia 76ers,Overall,Overall,192,270,276.48,-6.48,1.44,-0.0338,46
Adem Bona,Philadelphia 76ers,Shot_Type,Dunk,77,128,138.58,-10.58,1.7997,-0.1373,46
Adem Bona,Philadelphia 76ers,Shot_Type,Floater,6,12,5.46,6.54,0.9107,1.0893,46
Adem Bona,Philadelphia 76ers,Shot_Type,Hook Shot,13,12,12.15,-0.15,0.9348,-0.0117,46
Adem Bona,Philadelphia 76ers,Shot_Type,Layup,93,116,117.36,-1.36,1.2619,-0.0146,46
Adem Bona,Philadelphia 76ers,Shot_Zone,In The Paint (Non-RA),26,32,26.72,5.28,1.0277,0.2031,46
Adem Bona,Philadelphia 76ers,Shot_Zone,Restricted Area,163,238,247.19,-9.19,1.5165,-0.0564,46
Ajay Mitchell,Oklahoma City Thunder,Overall,Overall,184,205,190.28,14.72,1.0341,0.08,34
Ajay Mitchell,Oklahoma City Thunder,Shot_Type,Floater,28,24,25.17,-1.17,0.899,-0.0418,34
Ajay Mitchell,Oklahoma City Thunder,Shot_Type,Jump Shot,77,87,79.61,7.39,1.0339,0.0959,34
Ajay Mitchell,Oklahoma City Thunder,Shot_Type,Layup,76,90,81.85,8.15,1.077,0.1073,34
Ajay Mitchell,Oklahoma City Thunder,Shot_Zone,Above the Break 3,41,48,44.59,3.41,1.0877,0.0831,34
Ajay Mitchell,Oklahoma City Thunder,Shot_Zone,In The Paint (Non-RA),56,56,47.13,8.87,0.8417,0.1583,34
Ajay Mitchell,Oklahoma City Thunder,Shot_Zone,Left Corner 3,13,15,14.81,0.19,1.1395,0.0144,34
Ajay Mitchell,Oklahoma City Thunder,Shot_Zone,Mid-Range,14,12,11.92,0.08,0.8513,0.0058,34
Ajay Mitchell,Oklahoma City Thunder,Shot_Zone,Restricted Area,54,68,66.34,1.66,1.2285,0.0307,34
Ajay Mitchell,Oklahoma City Thunder,Shot_Zone,Right Corner 3,5,6,5.46,0.54,1.0913,0.1087,34
Al Horford,Boston Celtics,Overall,Overall,461,504,503.45,0.55,1.0921,0.0012,60
Al Horford,Boston Celtics,Shot_Type,Dunk,8,16,14.65,1.35,1.8308,0.1692,60
Al Horford,Boston Celtics,Shot_Type,Floater,5,4,4.63,-0.63,0.9259,-0.1259,60
Al Horford,Boston Celtics,Shot_Type,Hook Shot,41,40,38.69,1.31,0.9438,0.0319,60
Al Horford,Boston Celtics,Shot_Type,Jump Shot,330,354,360.22,-6.22,1.0916,-0.0188,60
Al Horford,Boston Celtics,Shot_Type,Layup,75,88,83.49,4.51,1.1132,0.0601,60
Al Horford,Boston Celtics,Shot_Zone,Above the Break 3,207,222,224.93,-2.93,1.0866,-0.0142,60
Al Horford,Boston Celtics,Shot_Zone,In The Paint (Non-RA),59,52,52.66,-0.66,0.8925,-0.0111,60
Al Horford,Boston Celtics,Shot_Zone,Left Corner 3,44,54,51.15,2.85,1.1625,0.0647,60
Al Horford,Boston Celtics,Shot_Zone,Mid-Range,12,4,9.3,-5.3,0.7747,-0.4414,60
Al Horford,Boston Celtics,Shot_Zone,Restricted Area,76,106,94.15,11.85,1.2388,0.1559,60
Al Horford,Boston Celtics,Shot_Zone,Right Corner 3,62,66,71.22,-5.22,1.1488,-0.0842,60
Alec Burks,Miami Heat,Overall,Overall,271,318,293.89,24.11,1.0844,0.089,48
Alec Burks,Miami Heat,Shot_Type,Fadeaway,10,7,9.08,-2.08,0.9085,-0.2085,48
Alec Burks,Miami Heat,Shot_Type,Floater,10,8,8.91,-0.91,0.8909,-0.0909,48
Alec Burks,Miami Heat,Shot_Type,Jump Shot,219,277,242.41,34.59,1.1069,0.158,48
Alec Burks,Miami Heat,Shot_Type,Layup,31,24,32.56,-8.56,1.0502,-0.276,48
Alec Burks,Miami Heat,Shot_Zone,Above the Break 3,103,138,112.93,25.07,1.0964,0.2434,48
Alec Burks,Miami Heat,Shot_Zone,In The Paint (Non-RA),27,22,22.67,-0.67,0.8394,-0.0246,48
Alec Burks,Miami Heat,Shot_Zone,Left Corner 3,71,87,82.79,4.21,1.166,0.0593,48
Alec Burks,Miami Heat,Shot_Zone,Mid-Range,18,16,15.07,0.93,0.837,0.0518,48
Alec Burks,Miami Heat,Shot_Zone,Restricted Area,19,16,23.5,-7.5,1.2368,-0.3947,48
Alec Burks,Miami Heat,Shot_Zone,Right Corner 3,32,39,36.87,2.13,1.1521,0.0667,48
Alex Caruso,Oklahoma City Thunder,Overall,Overall,314,340,361.93,-21.93,1.1526,-0.0698,53
Alex Caruso,Oklahoma City Thunder,Shot_Type,Dunk,9,18,16.67,1.33,1.8522,0.1478,53
Alex Caruso,Oklahoma City Thunder,Shot_Type,Floater,8,8,7.92,0.08,0.9901,0.0099,53
Alex Caruso,Oklahoma City Thunder,Shot_Type,Jump Shot,184,186,199.69,-13.69,1.0853,-0.0744,53
Alex Caruso,Oklahoma City Thunder,Shot_Type,Layup,111,124,135.87,-11.87,1.224,-0.1069,53
Alex Caruso,Oklahoma City Thunder,Shot_Zone,Above the Break 3,107,102,116.48,-14.48,1.0886,-0.1353,53
Alex Caruso,Oklahoma City Thunder,Shot_Zone,In The Paint (Non-RA),25,16,20.57,-4.57,0.8228,-0.1828,53
Alex Caruso,Oklahoma City Thunder,Shot_Zone,Left Corner 3,28,33,31.44,1.56,1.1227,0.0559,53
Alex Caruso,Oklahoma City Thunder,Shot_Zone,Mid-Range,10,4,7.96,-3.96,0.7963,-0.3963,53
Alex Caruso,Oklahoma City Thunder,Shot_Zone,Restricted Area,109,140,145.37,-5.37,1.3337,-0.0493,53
Alex Caruso,Oklahoma City Thunder,Shot_Zone,Right Corner 3,35,45,40.11,4.89,1.146,0.1397,53
Alex Ducas,Oklahoma City Thunder,Overall,Overall,30,34,31.5,2.5,1.0499,0.0835,15
Alex Ducas,Oklahoma City Thunder,Shot_Type,Jump Shot,23,32,24.7,7.3,1.0741,0.3172,15
Alex Ducas,Oklahoma City Thunder,Shot_Type,Layup,5,2,5.09,-3.09,1.0184,-0.6184,15
Alex Ducas,Oklahoma City Thunder,Shot_Zone,Above the Break 3,12,15,13.08,1.92,1.0899,0.1601,15
Alex Ducas,Oklahoma City Thunder,Shot_Zone,Left Corner 3,5,9,5.55,3.45,1.1095,0.6905,15
Alex Len,"Los Angeles Lakers, Sacramento Kings",Overall,Overall,63,66,75.67,-9.67,1.2011,-0.1535,29
Alex Len,"Los Angeles Lakers, Sacramento Kings",Shot_Type,Dunk,13,18,22.58,-4.58,1.7371,-0.3524,29
Alex Len,"Los Angeles Lakers, Sacramento Kings",Shot_Type,Floater,11,8,10.13,-2.13,0.9207,-0.1934,29
Alex Len,"Los Angeles Lakers, Sacramento Kings",Shot_Type,Jump Shot,12,8,12.61,-4.61,1.0508,-0.3841,29
Alex Len,"Los Angeles Lakers, Sacramento Kings",Shot_Type,Layup,23,26,26.64,-0.64,1.1582,-0.0277,29
Alex Len,"Los Angeles Lakers, Sacramento Kings",Shot_Zone,Above the Break 3,5,3,5.45,-2.45,1.0891,-0.4891,29
Alex Len,"Los Angeles Lakers, Sacramento Kings",Shot_Zone,In The Paint (Non-RA),22,24,21.15,2.85,0.9614,0.1295,29
Alex Len,"Los Angeles Lakers, Sacramento Kings",Shot_Zone,Restricted Area,28,34,40.97,-6.97,1.4632,-0.2489,29
Alex Reese,"Oklahoma City Thunder, Philadelphia 76ers",Overall,Overall,54,67,60.48,6.52,1.1201,0.1207,15
Alex Reese,"Oklahoma City Thunder, Philadelphia 76ers",Shot_Type,Jump Shot,41,47,45.16,1.84,1.1015,0.0448,15
Alex Reese,"Oklahoma City Thunder, Philadelphia 76ers",Shot_Type,Layup,6,12,7.96,4.04,1.3261,0.6739,15
Alex Reese,"Oklahoma City Thunder, Philadelphia 76ers",Shot_Zone,Above the Break 3,25,36,27.0,9.0,1.08,0.36,15
Alex Reese,"Oklahoma City Thunder, Philadelphia 76ers",Shot_Zone,Restricted Area,9,18,11.87,6.13,1.3187,0.6813,15
Alex Reese,"Oklahoma City Thunder, Philadelphia 76ers",Shot_Zone,Right Corner 3,13,6,14.98,-8.98,1.1523,-0.6908,15
Alex Sarr,Washington Wizards,Overall,Overall,828,757,897.35,-140.35,1.0838,-0.1695,67
Alex Sarr,Washington Wizards,Shot_Type,Dunk,64,116,114.11,1.89,1.783,0.0295,67
Alex Sarr,Washington Wizards,Shot_Type,Fadeaway,50,24,44.87,-20.87,0.8974,-0.4174,67
Alex Sarr,Washington Wizards,Shot_Type,Floater,99,84,91.57,-7.57,0.925,-0.0765,67
Alex Sarr,Washington Wizards,Shot_Type,Hook Shot,79,64,75.51,-11.51,0.9558,-0.1457,67
Alex Sarr,Washington Wizards,Shot_Type,Jump Shot,403,361,427.77,-66.77,1.0615,-0.1657,67
Alex Sarr,Washington Wizards,Shot_Type,Layup,133,108,143.52,-35.52,1.0791,-0.2671,67
Alex Sarr,Washington Wizards,Shot_Zone,Above the Break 3,288,258,311.27,-53.27,1.0808,-0.185,67
Alex Sarr,Washington Wizards,Shot_Zone,In The Paint (Non-RA),222,144,197.03,-53.03,0.8875,-0.2389,67
Alex Sarr,Washington Wizards,Shot_Zone,Left Corner 3,35,36,40.98,-4.98,1.1708,-0.1423,67
Alex Sarr,Washington Wizards,Shot_Zone,Mid-Range,73,54,61.89,-7.89,0.8478,-0.108,67
Alex Sarr,Washington Wizards,Shot_Zone,Restricted Area,192,244,265.04,-21.04,1.3804,-0.1096,67
Alex Sarr,Washington Wizards,Shot_Zone,Right Corner 3,18,21,21.15,-0.15,1.1748,-0.0082,67
Alondes Williams,Detroit Pistons,Overall,Overall,2,5,2.12,2.88,1.0608,1.4392,1
Alperen Sengun,Houston Rockets,Overall,Overall,1143,1155,1215.96,-60.96,1.0638,-0.0533,76
Alperen Sengun,Houston Rockets,Shot_Type,Dunk,77,130,131.87,-1.87,1.7126,-0.0243,76
Alperen Sengun,Houston Rockets,Shot_Type,Fadeaway,83,54,75.1,-21.1,0.9049,-0.2543,76
Alperen Sengun,Houston Rockets,Shot_Type,Floater,87,78,79.88,-1.88,0.9182,-0.0216,76
Alperen Sengun,Houston Rockets,Shot_Type,Hook Shot,243,230,233.49,-3.49,0.9609,-0.0144,76
Alperen Sengun,Houston Rockets,Shot_Type,Jump Shot,218,171,207.69,-36.69,0.9527,-0.1683,76
Alperen Sengun,Houston Rockets,Shot_Type,Layup,435,492,487.92,4.08,1.1217,0.0094,76
Alperen Sengun,Houston Rockets,Shot_Zone,Above the Break 3,84,57,88.56,-31.56,1.0543,-0.3758,76
Alperen Sengun,Houston Rockets,Shot_Zone,In The Paint (Non-RA),466,388,425.75,-37.75,0.9136,-0.081,76
Alperen Sengun,Houston Rockets,Shot_Zone,Mid-Range,106,80,91.39,-11.39,0.8622,-0.1075,76
Alperen Sengun,Houston Rockets,Shot_Zone,Restricted Area,481,624,603.49,20.51,1.2546,0.0426,76
Amen Thompson,Houston Rockets,Overall,Overall,697,801,818.11,-17.11,1.1738,-0.0245,69
Amen Thompson,Houston Rockets,Shot_Type,Dunk,148,276,259.9,16.1,1.7561,0.1088,69
Amen Thompson,Houston Rockets,Shot_Type,Fadeaway,25,14,21.78,-7.78,0.871,-0.311,69
Amen Thompson,Houston Rockets,Shot_Type,Floater,81,86,72.37,13.63,0.8935,0.1683,69
Amen Thompson,Houston Rockets,Shot_Type,Jump Shot,174,145,169.9,-24.9,0.9765,-0.1431,69
