Player,ContextType,ContextValue,FG_PCT
Precious Achiuwa,TouchTime,Touch < 2 Seconds,0.528
Precious Achiuwa,TouchTime,Touch 2-6 Seconds,0.465
Precious Achiuwa,TouchTime,Touch 6+ Seconds,0.333
Precious Achiuwa,DribbleRange,0 Dribbles,0.5
Precious Achiuwa,DribbleRange,1 Dribble,0.622
Precious Achiuwa,DribbleRange,2 Dribbles,0.471
Precious Achiuwa,DribbleRange,3-6 Dribbles,0.463
Precious Achiuwa,DribbleRange,7+ Dribbles,0.3
Precious Achiuwa,DefenderDistance,0-2 Feet - Very Tight,0.472
Precious Achiuwa,DefenderDistance,2-4 Feet - Tight,0.516
Precious Achiuwa,DefenderDistance,4-6 Feet - Open,0.549
Precious Achiuwa,DefenderDistance,6+ Feet - Wide Open,0.353
Precious Achiuwa,ShotClock,24-22,0.483
Precious Achiuwa,ShotClock,22-18 Very Early,0.576
Precious Achiuwa,ShotClock,18-15 Early,0.6
Precious Achiuwa,ShotClock,15-7 Average,0.521
Precious Achiuwa,ShotClock,7-4 Late,0.4
Precious Achiuwa,ShotClock,4-0 Very Late,0.389
Bam Adebayo,TouchTime,Touch < 2 Seconds,0.518
Bam Adebayo,TouchTime,Touch 2-6 Seconds,0.461
Bam Adebayo,TouchTime,Touch 6+ Seconds,0.418
Bam Adebayo,DribbleRange,0 Dribbles,0.518
Bam Adebayo,DribbleRange,1 Dribble,0.507
Bam Adebayo,DribbleRange,2 Dribbles,0.538
Bam Adebayo,DribbleRange,3-6 Dribbles,0.33
Bam Adebayo,DribbleRange,7+ Dribbles,0.522
Bam Adebayo,DefenderDistance,0-2 Feet - Very Tight,0.518
Bam Adebayo,DefenderDistance,2-4 Feet - Tight,0.523
Bam Adebayo,DefenderDistance,4-6 Feet - Open,0.456
Bam Adebayo,DefenderDistance,6+ Feet - Wide Open,0.444
Bam Adebayo,ShotClock,24-22,0.638
Bam Adebayo,ShotClock,22-18 Very Early,0.586
Bam Adebayo,ShotClock,18-15 Early,0.468
Bam Adebayo,ShotClock,15-7 Average,0.496
Bam Adebayo,ShotClock,7-4 Late,0.453
Bam Adebayo,ShotClock,4-0 Very Late,0.395
Santi Aldama,TouchTime,Touch < 2 Seconds,0.484
Santi Aldama,TouchTime,Touch 2-6 Seconds,0.482
Santi Aldama,TouchTime,Touch 6+ Seconds,0.538
Santi Aldama,DribbleRange,0 Dribbles,0.475
Santi Aldama,DribbleRange,1 Dribble,0.528
Santi Aldama,DribbleRange,2 Dribbles,0.469
Santi Aldama,DribbleRange,3-6 Dribbles,0.525
Santi Aldama,DribbleRange,7+ Dribbles,0.429
Santi Aldama,DefenderDistance,0-2 Feet - Very Tight,0.455
Santi Aldama,DefenderDistance,2-4 Feet - Tight,0.558
Santi Aldama,DefenderDistance,4-6 Feet - Open,0.462
Santi Aldama,DefenderDistance,6+ Feet - Wide Open,0.436
Santi Aldama,ShotClock,24-22,0.703
Santi Aldama,ShotClock,22-18 Very Early,0.561
Santi Aldama,ShotClock,18-15 Early,0.51
Santi Aldama,ShotClock,15-7 Average,0.421
Santi Aldama,ShotClock,7-4 Late,0.489
Santi Aldama,ShotClock,4-0 Very Late,0.341
Grayson Allen,TouchTime,Touch < 2 Seconds,0.447
Grayson Allen,TouchTime,Touch 2-6 Seconds,0.467
Grayson Allen,TouchTime,Touch 6+ Seconds,0.348
Grayson Allen,DribbleRange,0 Dribbles,0.447
Grayson Allen,DribbleRange,1 Dribble,0.471
Grayson Allen,DribbleRange,2 Dribbles,0.468
Grayson Allen,DribbleRange,3-6 Dribbles,0.448
Grayson Allen,DribbleRange,7+ Dribbles,0.286
Grayson Allen,DefenderDistance,0-2 Feet - Very Tight,0.357
Grayson Allen,DefenderDistance,2-4 Feet - Tight,0.391
Grayson Allen,DefenderDistance,4-6 Feet - Open,0.464
Grayson Allen,DefenderDistance,6+ Feet - Wide Open,0.465
Grayson Allen,ShotClock,24-22,0.857
Grayson Allen,ShotClock,22-18 Very Early,0.446
Grayson Allen,ShotClock,18-15 Early,0.444
Grayson Allen,ShotClock,15-7 Average,0.441
Grayson Allen,ShotClock,7-4 Late,0.383
Grayson Allen,ShotClock,4-0 Very Late,0.492
Jarrett Allen,TouchTime,Touch < 2 Seconds,0.715
Jarrett Allen,TouchTime,Touch 2-6 Seconds,0.663
Jarrett Allen,TouchTime,Touch 6+ Seconds,0.5
Jarrett Allen,DribbleRange,0 Dribbles,0.713
Jarrett Allen,DribbleRange,1 Dribble,0.697
Jarrett Allen,DribbleRange,2 Dribbles,0.633
Jarrett Allen,DribbleRange,3-6 Dribbles,0.727
Jarrett Allen,DefenderDistance,0-2 Feet - Very Tight,0.57
Jarrett Allen,DefenderDistance,2-4 Feet - Tight,0.713
Jarrett Allen,DefenderDistance,4-6 Feet - Open,0.789
Jarrett Allen,DefenderDistance,6+ Feet - Wide Open,0.633
Jarrett Allen,ShotClock,24-22,0.653
Jarrett Allen,ShotClock,22-18 Very Early,0.789
Jarrett Allen,ShotClock,18-15 Early,0.718
Jarrett Allen,ShotClock,15-7 Average,0.709
Jarrett Allen,ShotClock,7-4 Late,0.7
Jarrett Allen,ShotClock,4-0 Very Late,0.538
Jose Alvarado,TouchTime,Touch < 2 Seconds,0.384
Jose Alvarado,TouchTime,Touch 2-6 Seconds,0.376
Jose Alvarado,TouchTime,Touch 6+ Seconds,0.43
Jose Alvarado,DribbleRange,0 Dribbles,0.383
Jose Alvarado,DribbleRange,1 Dribble,0.394
Jose Alvarado,DribbleRange,2 Dribbles,0.394
Jose Alvarado,DribbleRange,3-6 Dribbles,0.38
Jose Alvarado,DribbleRange,7+ Dribbles,0.416
Jose Alvarado,DefenderDistance,0-2 Feet - Very Tight,0.267
Jose Alvarado,DefenderDistance,2-4 Feet - Tight,0.474
Jose Alvarado,DefenderDistance,4-6 Feet - Open,0.355
Jose Alvarado,DefenderDistance,6+ Feet - Wide Open,0.365
Jose Alvarado,ShotClock,24-22,0.333
Jose Alvarado,ShotClock,22-18 Very Early,0.458
Jose Alvarado,ShotClock,18-15 Early,0.407
Jose Alvarado,ShotClock,15-7 Average,0.384
Jose Alvarado,ShotClock,7-4 Late,0.368
Jose Alvarado,ShotClock,4-0 Very Late,0.338
Giannis Antetokounmpo,TouchTime,Touch < 2 Seconds,0.703
Giannis Antetokounmpo,TouchTime,Touch 2-6 Seconds,0.565
Giannis Antetokounmpo,TouchTime,Touch 6+ Seconds,0.548
Giannis Antetokounmpo,DribbleRange,0 Dribbles,0.763
Giannis Antetokounmpo,DribbleRange,1 Dribble,0.526
Giannis Antetokounmpo,DribbleRange,2 Dribbles,0.62
Giannis Antetokounmpo,DribbleRange,3-6 Dribbles,0.556
Giannis Antetokounmpo,DribbleRange,7+ Dribbles,0.542
Giannis Antetokounmpo,DefenderDistance,0-2 Feet - Very Tight,0.611
Giannis Antetokounmpo,DefenderDistance,2-4 Feet - Tight,0.661
Giannis Antetokounmpo,DefenderDistance,4-6 Feet - Open,0.528
Giannis Antetokounmpo,DefenderDistance,6+ Feet - Wide Open,0.46
Giannis Antetokounmpo,ShotClock,24-22,0.765
Giannis Antetokounmpo,ShotClock,22-18 Very Early,0.709
Giannis Antetokounmpo,ShotClock,18-15 Early,0.626
Giannis Antetokounmpo,ShotClock,15-7 Average,0.577
Giannis Antetokounmpo,ShotClock,7-4 Late,0.531
Giannis Antetokounmpo,ShotClock,4-0 Very Late,0.452
OG Anunoby,TouchTime,Touch < 2 Seconds,0.498
OG Anunoby,TouchTime,Touch 2-6 Seconds,0.455
OG Anunoby,TouchTime,Touch 6+ Seconds,0.292
OG Anunoby,DribbleRange,0 Dribbles,0.485
OG Anunoby,DribbleRange,1 Dribble,0.516
OG Anunoby,DribbleRange,2 Dribbles,0.483
OG Anunoby,DribbleRange,3-6 Dribbles,0.442
OG Anunoby,DribbleRange,7+ Dribbles,0.292
OG Anunoby,DefenderDistance,0-2 Feet - Very Tight,0.393
OG Anunoby,DefenderDistance,2-4 Feet - Tight,0.528
OG Anunoby,DefenderDistance,4-6 Feet - Open,0.45
OG Anunoby,DefenderDistance,6+ Feet - Wide Open,0.457
OG Anunoby,ShotClock,24-22,0.675
OG Anunoby,ShotClock,22-18 Very Early,0.618
OG Anunoby,ShotClock,18-15 Early,0.496
OG Anunoby,ShotClock,15-7 Average,0.435
OG Anunoby,ShotClock,7-4 Late,0.43
OG Anunoby,ShotClock,4-0 Very Late,0.419
Deni Avdija,TouchTime,Touch < 2 Seconds,0.429
Deni Avdija,TouchTime,Touch 2-6 Seconds,0.548
Deni Avdija,TouchTime,Touch 6+ Seconds,0.422
Deni Avdija,DribbleRange,0 Dribbles,0.421
Deni Avdija,DribbleRange,1 Dribble,0.5
Deni Avdija,DribbleRange,2 Dribbles,0.543
Deni Avdija,DribbleRange,3-6 Dribbles,0.531
Deni Avdija,DribbleRange,7+ Dribbles,0.441
Deni Avdija,DefenderDistance,0-2 Feet - Very Tight,0.4
Deni Avdija,DefenderDistance,2-4 Feet - Tight,0.56
Deni Avdija,DefenderDistance,4-6 Feet - Open,0.442
Deni Avdija,DefenderDistance,6+ Feet - Wide Open,0.41
Deni Avdija,ShotClock,24-22,0.545
Deni Avdija,ShotClock,22-18 Very Early,0.552
Deni Avdija,ShotClock,18-15 Early,0.489
Deni Avdija,ShotClock,15-7 Average,0.466
Deni Avdija,ShotClock,7-4 Late,0.46
Deni Avdija,ShotClock,4-0 Very Late,0.317
Marvin Bagley III,TouchTime,Touch < 2 Seconds,0.549
Marvin Bagley III,TouchTime,Touch 2-6 Seconds,0.5
Marvin Bagley III,TouchTime,Touch 6+ Seconds,0.5
Marvin Bagley III,DribbleRange,0 Dribbles,0.511
Marvin Bagley III,DribbleRange,1 Dribble,0.571
Marvin Bagley III,DribbleRange,2 Dribbles,0.571
Marvin Bagley III,DribbleRange,3-6 Dribbles,0.75
Marvin Bagley III,DribbleRange,7+ Dribbles,0.0
Marvin Bagley III,DefenderDistance,0-2 Feet - Very Tight,0.8
Marvin Bagley III,DefenderDistance,2-4 Feet - Tight,0.568
Marvin Bagley III,DefenderDistance,4-6 Feet - Open,0.375
Marvin Bagley III,DefenderDistance,6+ Feet - Wide Open,0.375
Marvin Bagley III,ShotClock,24-22,0.857
Marvin Bagley III,ShotClock,22-18 Very Early,0.8
Marvin Bagley III,ShotClock,18-15 Early,0.583
Marvin Bagley III,ShotClock,15-7 Average,0.488
Marvin Bagley III,ShotClock,7-4 Late,0.333
Marvin Bagley III,ShotClock,4-0 Very Late,0.0
Patrick Baldwin Jr.,TouchTime,Touch < 2 Seconds,1.0
Patrick Baldwin Jr.,DribbleRange,0 Dribbles,1.0
Patrick Baldwin Jr.,DefenderDistance,4-6 Feet - Open,1.0
Patrick Baldwin Jr.,DefenderDistance,6+ Feet - Wide Open,1.0
Patrick Baldwin Jr.,ShotClock,15-7 Average,1.0
LaMelo Ball,TouchTime,Touch < 2 Seconds,0.389
LaMelo Ball,TouchTime,Touch 2-6 Seconds,0.428
LaMelo Ball,TouchTime,Touch 6+ Seconds,0.393
LaMelo Ball,DribbleRange,0 Dribbles,0.397
LaMelo Ball,DribbleRange,1 Dribble,0.388
LaMelo Ball,DribbleRange,2 Dribbles,0.453
LaMelo Ball,DribbleRange,3-6 Dribbles,0.415
LaMelo Ball,DribbleRange,7+ Dribbles,0.394
LaMelo Ball,DefenderDistance,0-2 Feet - Very Tight,0.452
LaMelo Ball,DefenderDistance,2-4 Feet - Tight,0.44
LaMelo Ball,DefenderDistance,4-6 Feet - Open,0.348
LaMelo Ball,DefenderDistance,6+ Feet - Wide Open,0.422
LaMelo Ball,ShotClock,24-22,0.636
LaMelo Ball,ShotClock,22-18 Very Early,0.43
LaMelo Ball,ShotClock,18-15 Early,0.421
LaMelo Ball,ShotClock,15-7 Average,0.416
LaMelo Ball,ShotClock,7-4 Late,0.224
LaMelo Ball,ShotClock,4-0 Very Late,0.339
Mo Bamba,TouchTime,Touch < 2 Seconds,0.462
Mo Bamba,TouchTime,Touch 2-6 Seconds,0.5
Mo Bamba,DribbleRange,0 Dribbles,0.442
Mo Bamba,DribbleRange,1 Dribble,0.583
Mo Bamba,DribbleRange,2 Dribbles,0.5
Mo Bamba,DribbleRange,3-6 Dribbles,1.0
Mo Bamba,DefenderDistance,0-2 Feet - Very Tight,0.583
Mo Bamba,DefenderDistance,2-4 Feet - Tight,0.641
Mo Bamba,DefenderDistance,4-6 Feet - Open,0.4
Mo Bamba,DefenderDistance,6+ Feet - Wide Open,0.278
Mo Bamba,ShotClock,24-22,0.714
Mo Bamba,ShotClock,22-18 Very Early,0.0
Mo Bamba,ShotClock,18-15 Early,0.667
Mo Bamba,ShotClock,15-7 Average,0.423
Mo Bamba,ShotClock,7-4 Late,0.471
Mo Bamba,ShotClock,4-0 Very Late,0.556
Paolo Banchero,TouchTime,Touch < 2 Seconds,0.502
Paolo Banchero,TouchTime,Touch 2-6 Seconds,0.473
Paolo Banchero,TouchTime,Touch 6+ Seconds,0.383
Paolo Banchero,DribbleRange,0 Dribbles,0.5
Paolo Banchero,DribbleRange,1 Dribble,0.462
Paolo Banchero,DribbleRange,2 Dribbles,0.415
Paolo Banchero,DribbleRange,3-6 Dribbles,0.488
Paolo Banchero,DribbleRange,7+ Dribbles,0.361
Paolo Banchero,DefenderDistance,0-2 Feet - Very Tight,0.277
Paolo Banchero,DefenderDistance,2-4 Feet - Tight,0.518
Paolo Banchero,DefenderDistance,4-6 Feet - Open,0.412
Paolo Banchero,DefenderDistance,6+ Feet - Wide Open,0.424
Paolo Banchero,ShotClock,24-22,0.733
Paolo Banchero,ShotClock,22-18 Very Early,0.6
Paolo Banchero,ShotClock,18-15 Early,0.42
Paolo Banchero,ShotClock,15-7 Average,0.447
Paolo Banchero,ShotClock,7-4 Late,0.407
Paolo Banchero,ShotClock,4-0 Very Late,0.33
Dalano Banton,TouchTime,Touch < 2 Seconds,0.387
Dalano Banton,TouchTime,Touch 2-6 Seconds,0.399
Dalano Banton,TouchTime,Touch 6+ Seconds,0.384
Dalano Banton,DribbleRange,0 Dribbles,0.379
Dalano Banton,DribbleRange,1 Dribble,0.444
Dalano Banton,DribbleRange,2 Dribbles,0.34
Dalano Banton,DribbleRange,3-6 Dribbles,0.399
Dalano Banton,DribbleRange,7+ Dribbles,0.417
Dalano Banton,DefenderDistance,0-2 Feet - Very Tight,0.364
Dalano Banton,DefenderDistance,2-4 Feet - Tight,0.455
Dalano Banton,DefenderDistance,4-6 Feet - Open,0.333
Dalano Banton,DefenderDistance,6+ Feet - Wide Open,0.374
Dalano Banton,ShotClock,24-22,0.5
Dalano Banton,ShotClock,22-18 Very Early,0.4
Dalano Banton,ShotClock,18-15 Early,0.348
Dalano Banton,ShotClock,15-7 Average,0.401
Dalano Banton,ShotClock,7-4 Late,0.465
Dalano Banton,ShotClock,4-0 Very Late,0.339
Harrison Barnes,TouchTime,Touch < 2 Seconds,0.494
Harrison Barnes,TouchTime,Touch 2-6 Seconds,0.54
Harrison Barnes,TouchTime,Touch 6+ Seconds,0.486
Harrison Barnes,DribbleRange,0 Dribbles,0.48
Harrison Barnes,DribbleRange,1 Dribble,0.625
Harrison Barnes,DribbleRange,2 Dribbles,0.565
Harrison Barnes,DribbleRange,3-6 Dribbles,0.496
Harrison Barnes,DribbleRange,7+ Dribbles,0.44
Harrison Barnes,DefenderDistance,0-2 Feet - Very Tight,0.395
Harrison Barnes,DefenderDistance,2-4 Feet - Tight,0.573
Harrison Barnes,DefenderDistance,4-6 Feet - Open,0.485
Harrison Barnes,DefenderDistance,6+ Feet - Wide Open,0.487
Harrison Barnes,ShotClock,24-22,0.5
Harrison Barnes,ShotClock,22-18 Very Early,0.541
Harrison Barnes,ShotClock,18-15 Early,0.5
Harrison Barnes,ShotClock,15-7 Average,0.516
Harrison Barnes,ShotClock,7-4 Late,0.494
Harrison Barnes,ShotClock,4-0 Very Late,0.453
Scottie Barnes,TouchTime,Touch < 2 Seconds,0.463
Scottie Barnes,TouchTime,Touch 2-6 Seconds,0.46
Scottie Barnes,TouchTime,Touch 6+ Seconds,0.394
Scottie Barnes,DribbleRange,0 Dribbles,0.447
Scottie Barnes,DribbleRange,1 Dribble,0.559
Scottie Barnes,DribbleRange,2 Dribbles,0.441
Scottie Barnes,DribbleRange,3-6 Dribbles,0.415
Scottie Barnes,DribbleRange,7+ Dribbles,0.41
Scottie Barnes,DefenderDistance,0-2 Feet - Very Tight,0.574
Scottie Barnes,DefenderDistance,2-4 Feet - Tight,0.476
Scottie Barnes,DefenderDistance,4-6 Feet - Open,0.416
Scottie Barnes,DefenderDistance,6+ Feet - Wide Open,0.37
Scottie Barnes,ShotClock,24-22,0.545
Scottie Barnes,ShotClock,22-18 Very Early,0.5
Scottie Barnes,ShotClock,18-15 Early,0.456
Scottie Barnes,ShotClock,15-7 Average,0.451
Scottie Barnes,ShotClock,7-4 Late,0.39
Scottie Barnes,ShotClock,4-0 Very Late,0.33
RJ Barrett,TouchTime,Touch < 2 Seconds,0.466
RJ Barrett,TouchTime,Touch 2-6 Seconds,0.486
RJ Barrett,TouchTime,Touch 6+ Seconds,0.422
RJ Barrett,DribbleRange,0 Dribbles,0.454
RJ Barrett,DribbleRange,1 Dribble,0.493
RJ Barrett,DribbleRange,2 Dribbles,0.488
RJ Barrett,DribbleRange,3-6 Dribbles,0.484
RJ Barrett,DribbleRange,7+ Dribbles,0.44
RJ Barrett,DefenderDistance,0-2 Feet - Very Tight,0.394
RJ Barrett,DefenderDistance,2-4 Feet - Tight,0.516
RJ Barrett,DefenderDistance,4-6 Feet - Open,0.441
RJ Barrett,DefenderDistance,6+ Feet - Wide Open,0.429
RJ Barrett,ShotClock,24-22,0.533
RJ Barrett,ShotClock,22-18 Very Early,0.533
RJ Barrett,ShotClock,18-15 Early,0.434
RJ Barrett,ShotClock,15-7 Average,0.472
RJ Barrett,ShotClock,7-4 Late,0.418
RJ Barrett,ShotClock,4-0 Very Late,0.352
Charles Bassey,TouchTime,Touch < 2 Seconds,0.566
Charles Bassey,TouchTime,Touch 2-6 Seconds,0.727
Charles Bassey,DribbleRange,0 Dribbles,0.579
Charles Bassey,DribbleRange,1 Dribble,0.5
Charles Bassey,DribbleRange,2 Dribbles,1.0
Charles Bassey,DribbleRange,3-6 Dribbles,1.0
Charles Bassey,DefenderDistance,0-2 Feet - Very Tight,0.5
Charles Bassey,DefenderDistance,2-4 Feet - Tight,0.605
Charles Bassey,DefenderDistance,4-6 Feet - Open,0.55
Charles Bassey,DefenderDistance,6+ Feet - Wide Open,0.333
Charles Bassey,ShotClock,24-22,0.353
Charles Bassey,ShotClock,22-18 Very Early,0.75
Charles Bassey,ShotClock,18-15 Early,0.391
Charles Bassey,ShotClock,15-7 Average,0.64
Charles Bassey,ShotClock,7-4 Late,0.625
Charles Bassey,ShotClock,4-0 Very Late,1.0
Emoni Bates,TouchTime,Touch < 2 Seconds,0.321
Emoni Bates,TouchTime,Touch 2-6 Seconds,0.167
Emoni Bates,TouchTime,Touch 6+ Seconds,0.75
Emoni Bates,DribbleRange,0 Dribbles,0.304
Emoni Bates,DribbleRange,1 Dribble,0.333
Emoni Bates,DribbleRange,2 Dribbles,0.5
Emoni Bates,DribbleRange,3-6 Dribbles,0.0
Emoni Bates,DribbleRange,7+ Dribbles,1.0
Emoni Bates,DefenderDistance,0-2 Feet - Very Tight,0.5
Emoni Bates,DefenderDistance,2-4 Feet - Tight,0.167
Emoni Bates,DefenderDistance,4-6 Feet - Open,0.231
Emoni Bates,DefenderDistance,6+ Feet - Wide Open,0.471
Emoni Bates,ShotClock,22-18 Very Early,0.4
Emoni Bates,ShotClock,18-15 Early,0.5
Emoni Bates,ShotClock,15-7 Average,0.24
Emoni Bates,ShotClock,7-4 Late,0.5
Emoni Bates,ShotClock,4-0 Very Late,0.75
Jamison Battle,TouchTime,Touch < 2 Seconds,0.419
Jamison Battle,TouchTime,Touch 2-6 Seconds,0.49
Jamison Battle,DribbleRange,0 Dribbles,0.42
Jamison Battle,DribbleRange,1 Dribble,0.455
Jamison Battle,DribbleRange,2 Dribbles,0.429
Jamison Battle,DribbleRange,3-6 Dribbles,0.538
Jamison Battle,DefenderDistance,0-2 Feet - Very Tight,0.455
Jamison Battle,DefenderDistance,2-4 Feet - Tight,0.36
Jamison Battle,DefenderDistance,4-6 Feet - Open,0.454
Jamison Battle,DefenderDistance,6+ Feet - Wide Open,0.443
Jamison Battle,ShotClock,24-22,0.6
Jamison Battle,ShotClock,22-18 Very Early,0.466
Jamison Battle,ShotClock,18-15 Early,0.464
Jamison Battle,ShotClock,15-7 Average,0.417
Jamison Battle,ShotClock,7-4 Late,0.357
Jamison Battle,ShotClock,4-0 Very Late,0.375
Nicolas Batum,TouchTime,Touch < 2 Seconds,0.435
Nicolas Batum,TouchTime,Touch 2-6 Seconds,0.5
Nicolas Batum,DribbleRange,0 Dribbles,0.443
Nicolas Batum,DribbleRange,1 Dribble,0.2
Nicolas Batum,DribbleRange,2 Dribbles,0.571
Nicolas Batum,DefenderDistance,0-2 Feet - Very Tight,0.0
Nicolas Batum,DefenderDistance,2-4 Feet - Tight,0.458
Nicolas Batum,DefenderDistance,4-6 Feet - Open,0.426
Nicolas Batum,DefenderDistance,6+ Feet - Wide Open,0.447
Nicolas Batum,ShotClock,24-22,0.833
Nicolas Batum,ShotClock,22-18 Very Early,0.538
Nicolas Batum,ShotClock,18-15 Early,0.48
Nicolas Batum,ShotClock,15-7 Average,0.427
Nicolas Batum,ShotClock,7-4 Late,0.375
Nicolas Batum,ShotClock,4-0 Very Late,0.333
Malik Beasley,TouchTime,Touch < 2 Seconds,0.444
Malik Beasley,TouchTime,Touch 2-6 Seconds,0.411
Malik Beasley,TouchTime,Touch 6+ Seconds,0.281
Malik Beasley,DribbleRange,0 Dribbles,0.444
Malik Beasley,DribbleRange,1 Dribble,0.477
Malik Beasley,DribbleRange,2 Dribbles,0.406
Malik Beasley,DribbleRange,3-6 Dribbles,0.368
Malik Beasley,DribbleRange,7+ Dribbles,0.342
Malik Beasley,DefenderDistance,0-2 Feet - Very Tight,0.375
Malik Beasley,DefenderDistance,2-4 Feet - Tight,0.402
Malik Beasley,DefenderDistance,4-6 Feet - Open,0.431
Malik Beasley,DefenderDistance,6+ Feet - Wide Open,0.493
Malik Beasley,ShotClock,24-22,0.4
Malik Beasley,ShotClock,22-18 Very Early,0.549
Malik Beasley,ShotClock,18-15 Early,0.391
Malik Beasley,ShotClock,15-7 Average,0.419
Malik Beasley,ShotClock,7-4 Late,0.404
Malik Beasley,ShotClock,4-0 Very Late,0.337
MarJon Beauchamp,TouchTime,Touch < 2 Seconds,0.5
MarJon Beauchamp,TouchTime,Touch 2-6 Seconds,0.333
MarJon Beauchamp,TouchTime,Touch 6+ Seconds,1.0
MarJon Beauchamp,DribbleRange,0 Dribbles,0.667
MarJon Beauchamp,DribbleRange,1 Dribble,0.0
MarJon Beauchamp,DribbleRange,2 Dribbles,1.0
MarJon Beauchamp,DribbleRange,3-6 Dribbles,0.25
MarJon Beauchamp,DribbleRange,7+ Dribbles,0.5
MarJon Beauchamp,DefenderDistance,0-2 Feet - Very Tight,1.0
MarJon Beauchamp,DefenderDistance,2-4 Feet - Tight,0.333
MarJon Beauchamp,DefenderDistance,4-6 Feet - Open,0.4
MarJon Beauchamp,DefenderDistance,6+ Feet - Wide Open,0.5
MarJon Beauchamp,ShotClock,22-18 Very Early,0.4
MarJon Beauchamp,ShotClock,18-15 Early,1.0
MarJon Beauchamp,ShotClock,15-7 Average,0.667
MarJon Beauchamp,ShotClock,4-0 Very Late,0.0
Reece Beekman,TouchTime,Touch < 2 Seconds,0.286
Reece Beekman,TouchTime,Touch 2-6 Seconds,0.444
Reece Beekman,TouchTime,Touch 6+ Seconds,0.19
Reece Beekman,DribbleRange,0 Dribbles,0.268
Reece Beekman,DribbleRange,1 Dribble,0.375
Reece Beekman,DribbleRange,2 Dribbles,0.2
Reece Beekman,DribbleRange,3-6 Dribbles,0.538
Reece Beekman,DribbleRange,7+ Dribbles,0.19
Reece Beekman,DefenderDistance,0-2 Feet - Very Tight,0.333
Reece Beekman,DefenderDistance,2-4 Feet - Tight,0.475
Reece Beekman,DefenderDistance,4-6 Feet - Open,0.313
Reece Beekman,DefenderDistance,6+ Feet - Wide Open,0.158
Reece Beekman,ShotClock,24-22,1.0
Reece Beekman,ShotClock,22-18 Very Early,0.273
Reece Beekman,ShotClock,18-15 Early,0.227
Reece Beekman,ShotClock,15-7 Average,0.333
Reece Beekman,ShotClock,7-4 Late,0.167
Reece Beekman,ShotClock,4-0 Very Late,0.5
Goga Bitadze,TouchTime,Touch < 2 Seconds,0.643
Goga Bitadze,TouchTime,Touch 2-6 Seconds,0.469
Goga Bitadze,TouchTime,Touch 6+ Seconds,0.667
Goga Bitadze,DribbleRange,0 Dribbles,0.652
Goga Bitadze,DribbleRange,1 Dribble,0.491
Goga Bitadze,DribbleRange,2 Dribbles,0.462
Goga Bitadze,DribbleRange,3-6 Dribbles,0.667
Goga Bitadze,DefenderDistance,0-2 Feet - Very Tight,0.588
Goga Bitadze,DefenderDistance,2-4 Feet - Tight,0.644
Goga Bitadze,DefenderDistance,4-6 Feet - Open,0.705
Goga Bitadze,DefenderDistance,6+ Feet - Wide Open,0.385
Goga Bitadze,ShotClock,24-22,0.627
Goga Bitadze,ShotClock,22-18 Very Early,0.722
Goga Bitadze,ShotClock,18-15 Early,0.575
Goga Bitadze,ShotClock,15-7 Average,0.616
Goga Bitadze,ShotClock,7-4 Late,0.571
Goga Bitadze,ShotClock,4-0 Very Late,0.579
Anthony Black,TouchTime,Touch < 2 Seconds,0.422
Anthony Black,TouchTime,Touch 2-6 Seconds,0.427
Anthony Black,TouchTime,Touch 6+ Seconds,0.413
Anthony Black,DribbleRange,0 Dribbles,0.398
Anthony Black,DribbleRange,1 Dribble,0.516
Anthony Black,DribbleRange,2 Dribbles,0.356
Anthony Black,DribbleRange,3-6 Dribbles,0.458
Anthony Black,DribbleRange,7+ Dribbles,0.413
Anthony Black,DefenderDistance,0-2 Feet - Very Tight,0.391
Anthony Black,DefenderDistance,2-4 Feet - Tight,0.426
Anthony Black,DefenderDistance,4-6 Feet - Open,0.454
Anthony Black,DefenderDistance,6+ Feet - Wide Open,0.404
Anthony Black,ShotClock,24-22,0.571
Anthony Black,ShotClock,22-18 Very Early,0.545
Anthony Black,ShotClock,18-15 Early,0.439
Anthony Black,ShotClock,15-7 Average,0.379
Anthony Black,ShotClock,7-4 Late,0.446
Anthony Black,ShotClock,4-0 Very Late,0.35
Bogdan Bogdanović,TouchTime,Touch < 2 Seconds,0.459
Bogdan Bogdanović,TouchTime,Touch 2-6 Seconds,0.45
Bogdan Bogdanović,TouchTime,Touch 6+ Seconds,0.565
Bogdan Bogdanović,DribbleRange,0 Dribbles,0.455
Bogdan Bogdanović,DribbleRange,1 Dribble,0.609
Bogdan Bogdanović,DribbleRange,2 Dribbles,0.375
Bogdan Bogdanović,DribbleRange,3-6 Dribbles,0.427
Bogdan Bogdanović,DribbleRange,7+ Dribbles,0.611
Bogdan Bogdanović,DefenderDistance,0-2 Feet - Very Tight,0.75
Bogdan Bogdanović,DefenderDistance,2-4 Feet - Tight,0.446
Bogdan Bogdanović,DefenderDistance,4-6 Feet - Open,0.443
Bogdan Bogdanović,DefenderDistance,6+ Feet - Wide Open,0.507
Bogdan Bogdanović,ShotClock,24-22,0.429
Bogdan Bogdanović,ShotClock,22-18 Very Early,0.406
Bogdan Bogdanović,ShotClock,18-15 Early,0.579
Bogdan Bogdanović,ShotClock,15-7 Average,0.489
Bogdan Bogdanović,ShotClock,7-4 Late,0.4
Bogdan Bogdanović,ShotClock,4-0 Very Late,0.417
