PLAYER_NAME,Total_Shots,Total_Points,Total_xP,TEAM_NAME,Overperformance,xP_per_Shot,Overperf_per_Shot,GamesPlayed,Team
Ronald Holland II,381,399,421.99835,Detroit Pistons,-22.99835205078125,1.107607223230397,-0.060363128742208,81,DET
Jaylen Clark,109,116,122.604164,Minnesota Timberwolves,-6.604164123535156,1.124808845170047,-0.0605886616838087,40,MIN
Simone Fontecchio,342,345,365.82703,Detroit Pistons,-20.8270263671875,1.0696696677403144,-0.0608977379157529,75,DET
Jalen Suggs,456,439,467.0242,Orlando Magic,-28.024200439453125,1.0241758781566954,-0.0614565799110814,35,ORL
Jalen Johnson,506,542,573.1436,Atlanta Hawks,-31.14361572265625,1.1326948927325222,-0.0615486476732336,36,ATL
Jalen Smith,386,424,447.8365,Chicago Bulls,-23.83648681640625,1.1601981523741094,-0.0617525565191871,64,CHI
Yuki Kawamura,30,29,30.867321,Memphis Grizzlies,-1.8673210144042969,1.0289107004801432,-0.0622440338134765,22,MEM
Jevon Carter,138,136,144.603,Chicago Bulls,-8.602996826171875,1.047847803088202,-0.0623405567113903,36,CHI
Jalen Hood-Schifino,97,88,94.08358,Philadelphia 76ers,-6.083580017089844,0.9699338146091736,-0.0627173197638128,15,PHI
Jonathan Kuminga,547,547,581.94995,Golden State Warriors,-34.949951171875,1.063893877827925,-0.063893877827925,47,GSW
Dominick Barlow,104,120,126.67286,Atlanta Hawks,-6.672859191894531,1.2180082614605243,-0.0641621076143705,35,ATL
Ben Simmons,212,216,229.69466,LA Clippers,-13.694656372070312,1.0834653602456146,-0.0645974357173128,51,LAC
Emoni Bates,38,37,39.460888,Cleveland Cavaliers,-2.460887908935547,1.0384444186561983,-0.0647602081298828,10,CLE
Caleb Martin,284,279,297.52405,Philadelphia 76ers,-18.5240478515625,1.0476198868012765,-0.0652255206040933,45,DAL
Branden Carlson,84,90,95.53299,Oklahoma City Thunder,-5.532989501953125,1.1372974940708704,-0.0658689226422991,32,OKC
Isaiah Wong,102,93,99.83964,Charlotte Hornets,-6.839637756347656,0.9788199780034084,-0.0670552721210554,20,CHA
Lonzo Ball,223,225,240.07204,Chicago Bulls,-15.072036743164062,1.076556218579211,-0.0675876087137401,35,CHI
Cam Whitmore,393,410,436.63477,Houston Rockets,-26.634765625,1.1110299379770991,-0.0677729405216285,51,HOU
Jaylen Martin,71,69,73.81884,Washington Wizards,-4.818840026855469,1.039701972209232,-0.067870986293739,16,WAS
Ochai Agbaji,459,512,543.1583,Toronto Raptors,-31.1583251953125,1.1833514710137527,-0.067883061427696,64,TOR
Reggie Jackson,126,121,129.5689,Philadelphia 76ers,-8.568893432617188,1.0283245510525174,-0.068007090735057,31,PHI
Jalen Wilson,587,586,626.41345,Brooklyn Nets,-40.4134521484375,1.0671438707809835,-0.0688474482937606,79,BKN
Paul Reed,136,146,155.67537,Detroit Pistons,-9.675369262695312,1.144671832813936,-0.0711424210492302,45,DET
Miles Bridges,1045,1027,1101.831,Charlotte Hornets,-74.8310546875,1.0543837843899522,-0.0716086647727272,64,CHA
Andre Jackson Jr.,183,206,219.50592,Milwaukee Bucks,-13.50592041015625,1.1994859038806351,-0.0738028437713456,67,MIL
Scoot Henderson,647,626,674.2944,Portland Trail Blazers,-48.29437255859375,1.0421860472312114,-0.0746435433672237,66,POR
Nic Claxton,546,614,654.8246,Brooklyn Nets,-40.8245849609375,1.1993124266683837,-0.0747703021262591,70,BKN
Ryan Dunn,446,461,494.81134,Phoenix Suns,-33.81134033203125,1.1094424671121776,-0.0758101801166619,74,PHX
Tari Eason,534,573,613.5025,Houston Rockets,-40.50250244140625,1.148881090714244,-0.0758473828490753,57,HOU
Ziaire Williams,463,494,530.07904,Brooklyn Nets,-36.07904052734375,1.1448791372080858,-0.0779244935795761,63,BKN
OG Anunoby,954,1053,1128.0359,New York Knicks,-75.035888671875,1.182427556259827,-0.0786539713541666,74,NYK
Kyle Kuzma,790,771,834.53424,Washington Wizards,-63.53424072265625,1.0563724566109574,-0.0804230895223496,65,MIL
Daniel Theis,121,125,134.75201,New Orleans Pelicans,-9.75201416015625,1.113653009588068,-0.0805951583483987,38,NOP
Kevon Looney,267,275,296.52234,Golden State Warriors,-21.5223388671875,1.110570557555009,-0.0806080107385299,76,GSW
Lindy Waters III,234,231,250.20436,Golden State Warriors,-19.204360961914062,1.0692494058201456,-0.0820699186406583,52,DET
Alex Caruso,283,300,323.23846,Oklahoma City Thunder,-23.23846435546875,1.142185386415084,-0.082114715036992,54,OKC
RJ Barrett,913,927,1002.03687,Toronto Raptors,-75.036865234375,1.097521210552437,-0.0821871470256024,58,TOR
Kel'el Ware,430,503,538.5001,Miami Heat,-35.5001220703125,1.2523258652797966,-0.0825584234193314,64,MIA
JT Thor,54,54,58.49505,Washington Wizards,-4.495048522949219,1.0832416393138744,-0.0832416393138744,20,WAS
Brandon Boston,363,355,385.2175,New Orleans Pelicans,-30.217498779296875,1.061205230796961,-0.083243798290074,42,NOP
Patrick Williams,483,477,517.7472,Chicago Bulls,-40.7471923828125,1.0719403569002328,-0.0843627171486801,63,CHI
Zaccharie Risacher,712,758,818.22174,Atlanta Hawks,-60.22174072265625,1.1491878380936182,-0.0845810965205846,75,ATL
Zeke Nnaji,133,147,158.36824,Denver Nuggets,-11.368240356445312,1.1907386492965812,-0.0854754914018444,57,DEN
Jaylon Tyson,133,134,145.38083,Cleveland Cavaliers,-11.380828857421877,1.0930889387776082,-0.0855701417851268,47,CLE
Kelly Oubre Jr.,707,734,794.80975,Philadelphia 76ers,-60.80975341796875,1.1242004998839727,-0.0860109666449345,60,PHI
Keion Brooks Jr.,104,109,118.11305,New Orleans Pelicans,-9.113052368164062,1.1357024266169622,-0.087625503540039,14,NOP
Draymond Green,485,483,525.6118,Golden State Warriors,-42.61181640625,1.0837357039304123,-0.0878594152706185,68,GSW
Tolu Smith,8,10,10.70731,Detroit Pistons,-0.7073097229003906,1.3384137153625488,-0.0884137153625488,1,DET
Jamal Shead,482,456,498.83917,Toronto Raptors,-42.83917236328125,1.0349360422474714,-0.0888779509611644,75,TOR
Jazian Gortman,21,19,20.871609,Dallas Mavericks,-1.8716087341308592,0.9938861301967076,-0.0891242254348028,16,DAL
Trey Lyles,354,363,394.75595,Sacramento Kings,-31.755950927734375,1.1151298048806055,-0.0897060760670462,69,SAC
