PLAYER_NAME,ACTION_TYPE,Shots,Points,xP,Overperformance,xP_per_Shot,Overperf_per_Shot
A.J. Lawson,Alley Oop Layup shot,2,2,2.502211,-0.5022110939025879,1.251105546951294,-0.25110554695129395
A.J. Lawson,Cutting Dunk Shot,3,6,4.8835526,1.1164474487304688,1.627850850423177,0.37214914957682294
A.J. Lawson,Cutting Finger Roll Layup Shot,5,6,7.4980392,-1.4980392456054688,1.4996078491210938,-0.29960784912109373
A.J. Lawson,Cutting Layup Shot,8,8,10.373151,-2.3731508255004883,1.296643853187561,-0.29664385318756104
A.J. Lawson,Driving Dunk Shot,1,0,1.5350848,-1.535084843635559,1.535084843635559,-1.535084843635559
A.J. Lawson,Driving Finger Roll Layup Shot,14,18,17.122934,0.8770656585693359,1.223066738673619,0.06264754704066686
A.J. Lawson,Driving Floating Bank Jump Shot,1,0,1.5424359,-1.542435884475708,1.542435884475708,-1.542435884475708
A.J. Lawson,Driving Floating Jump Shot,3,0,2.2137086,-2.2137086391448975,0.7379028797149658,-0.7379028797149658
A.J. Lawson,Driving Layup Shot,16,12,14.174911,-2.174910545349121,0.8859319090843201,-0.13593190908432007
A.J. Lawson,Driving Reverse Layup Shot,1,0,1.1195021,-1.119502067565918,1.119502067565918,-1.119502067565918
A.J. Lawson,Fadeaway Jump Shot,1,0,0.78318584,-0.7831858396530151,0.7831858396530151,-0.7831858396530151
A.J. Lawson,Jump Bank Shot,1,3,1.0570529,1.9429471492767334,1.0570528507232666,1.9429471492767334
A.J. Lawson,Jump Shot,68,66,74.12686,-8.126861572265625,1.0901009054744946,-0.11951267018037684
A.J. Lawson,Pullup Jump shot,4,6,4.1446915,1.8553085327148438,1.036172866821289,0.46382713317871094
A.J. Lawson,Putback Layup Shot,1,2,1.186833,0.8131669759750366,1.1868330240249634,0.8131669759750366
A.J. Lawson,Reverse Layup Shot,3,0,3.7616048,-3.7616047859191895,1.2538682619730632,-1.2538682619730632
A.J. Lawson,Running Alley Oop Dunk Shot,1,2,1.9753463,0.02465367317199707,1.975346326828003,0.02465367317199707
A.J. Lawson,Running Alley Oop Layup Shot,1,0,1.2014388,-1.2014387845993042,1.2014387845993042,-1.2014387845993042
A.J. Lawson,Running Dunk Shot,6,10,10.911861,-0.9118614196777344,1.818643569946289,-0.1519769032796224
A.J. Lawson,Running Finger Roll Layup Shot,4,8,5.6497087,2.3502912521362305,1.4124271869659424,0.5875728130340576
A.J. Lawson,Running Jump Shot,11,9,12.157851,-3.157851219177246,1.105259201743386,-0.2870773835615678
A.J. Lawson,Running Layup Shot,8,8,8.671814,-0.67181396484375,1.0839767456054688,-0.08397674560546875
A.J. Lawson,Step Back Jump shot,1,3,1.1891242,1.8108757734298706,1.1891242265701294,1.8108757734298706
A.J. Lawson,Tip Dunk Shot,1,2,1.6649563,0.33504366874694824,1.6649563312530518,0.33504366874694824
A.J. Lawson,Tip Layup Shot,5,4,5.3721123,-1.3721122741699219,1.0744224548339845,-0.27442245483398436
AJ Green,Cutting Layup Shot,7,8,9.990207,-1.9902067184448242,1.4271723883492606,-0.28431524549211773
AJ Green,Driving Finger Roll Layup Shot,1,0,1.677304,-1.6773040294647217,1.6773040294647217,-1.6773040294647217
AJ Green,Driving Layup Shot,2,2,2.447318,-0.44731807708740234,1.2236590385437012,-0.22365903854370117
AJ Green,Fadeaway Jump Shot,5,6,3.8622348,2.1377651691436768,0.7724469661712646,0.42755303382873533
AJ Green,Jump Bank Shot,1,3,1.0479287,1.9520713090896606,1.0479286909103394,1.9520713090896606
AJ Green,Jump Shot,225,293,245.16322,47.83677673339844,1.0896143256293402,0.21260789659288196
AJ Green,Pullup Jump shot,80,78,75.20182,2.7981796264648438,0.9400227546691895,0.03497724533081055
AJ Green,Reverse Layup Shot,1,2,1.5283558,0.47164416313171387,1.5283558368682861,0.47164416313171387
AJ Green,Running Jump Shot,30,42,32.32669,9.673309326171875,1.077556355794271,0.3224436442057292
AJ Green,Running Layup Shot,2,4,2.952207,1.047792911529541,1.4761035442352295,0.5238964557647705
AJ Green,Running Pull-Up Jump Shot,10,15,10.651989,4.348011016845703,1.0651988983154297,0.4348011016845703
AJ Green,Step Back Bank Jump Shot,1,3,2.0578456,0.9421544075012207,2.0578455924987793,0.9421544075012207
AJ Green,Step Back Jump shot,23,21,22.44727,-1.4472694396972656,0.9759682365085768,-0.0629247582477072
AJ Green,Turnaround Fadeaway shot,2,0,1.8024237,-1.8024237155914307,0.9012118577957153,-0.9012118577957153
AJ Green,Turnaround Jump Shot,1,3,1.043606,1.9563939571380615,1.0436060428619385,1.9563939571380615
AJ Johnson,Alley Oop Dunk Shot,2,2,3.2295964,-1.2295963764190674,1.6147981882095337,-0.6147981882095337
AJ Johnson,Cutting Dunk Shot,1,2,1.8473426,0.1526573896408081,1.847342610359192,0.1526573896408081
AJ Johnson,Cutting Layup Shot,2,2,3.1410818,-1.1410818099975586,1.5705409049987793,-0.5705409049987793
AJ Johnson,Driving Dunk Shot,5,4,6.8516045,-2.851604461669922,1.3703208923339845,-0.5703208923339844
AJ Johnson,Driving Finger Roll Layup Shot,20,24,23.993217,0.00678253173828125,1.199660873413086,0.0003391265869140625
AJ Johnson,Driving Floating Bank Jump Shot,4,6,3.6886384,2.31136155128479,0.9221596121788025,0.5778403878211975
AJ Johnson,Driving Floating Jump Shot,1,2,0.8841836,1.1158164143562317,0.8841835856437683,1.1158164143562317
AJ Johnson,Driving Hook Shot,2,0,1.8040226,-1.8040225505828857,0.9020112752914429,-0.9020112752914429
