PLAYER_NAME,SHOT_ZONE_BASIC,Shots,Points,xP,Overperformance,xP_per_Shot,Overperf_per_Shot
A.J. Lawson,Above the Break 3,65,66,69.67146,-3.6714630126953125,1.071868661733774,-0.056484046349158656
A.J. Lawson,In The Paint (Non-RA),17,14,15.007261,-1.0072612762451172,0.8827800750732422,-0.0592506633085363
A.J. Lawson,Left Corner 3,8,12,9.351236,2.648763656616211,1.1689045429229736,0.33109545707702637
A.J. Lawson,Mid-Range,3,2,2.2572777,-0.2572777271270752,0.7524259090423584,-0.08575924237569173
A.J. Lawson,Restricted Area,65,72,86.87985,-14.879852294921875,1.3366131122295672,-0.2289208045372596
A.J. Lawson,Right Corner 3,12,9,13.652884,-4.652883529663086,1.1377402941385906,-0.3877402941385905
AJ Green,Above the Break 3,248,285,260.3642,24.63580322265625,1.0498556321667087,0.09933791622038811
AJ Green,In The Paint (Non-RA),11,12,9.762231,2.23776912689209,0.8874755339189009,0.20343355699018997
AJ Green,Left Corner 3,37,57,41.81329,15.186710357666016,1.13008890925227,0.41045163128827067
AJ Green,Mid-Range,36,26,30.87126,-4.871259689331055,0.8575349913703071,-0.13531276914808485
AJ Green,Restricted Area,13,16,18.595392,-2.5953922271728516,1.430414786705604,-0.1996455559363732
AJ Green,Right Corner 3,46,84,52.794044,31.205955505371094,1.1476966194484546,0.6783903370732847
AJ Johnson,Above the Break 3,76,57,78.52926,-21.529258728027344,1.033279720105623,-0.28327972010562297
AJ Johnson,Backcourt,1,0,0.49215585,-0.49215584993362427,0.49215584993362427,-0.49215584993362427
AJ Johnson,In The Paint (Non-RA),37,22,30.745453,-8.745452880859375,0.8309581859691723,-0.23636359137457771
AJ Johnson,Left Corner 3,5,3,5.9000654,-2.9000654220581055,1.180013084411621,-0.5800130844116211
AJ Johnson,Mid-Range,5,2,4.324969,-2.3249688148498535,0.8649937629699707,-0.4649937629699707
AJ Johnson,Restricted Area,72,80,93.80091,-13.800910949707031,1.302790429857042,-0.191679318745931
AJ Johnson,Right Corner 3,5,9,5.5483284,3.451671600341797,1.1096656799316407,0.6903343200683594
Aaron Gordon,Above the Break 3,106,132,113.710625,18.28937530517578,1.072741742404002,0.17254127646392248
Aaron Gordon,In The Paint (Non-RA),58,48,48.96749,-0.9674911499023438,0.8442670887914198,-0.016680881894867997
Aaron Gordon,Left Corner 3,28,42,33.01022,8.98978042602539,1.1789364133562361,0.32106358664376394
Aaron Gordon,Mid-Range,49,50,43.40821,6.591789245605469,0.8858818521305006,0.13452631113480548
Aaron Gordon,Restricted Area,199,256,267.30725,-11.3072509765625,1.3432525174701633,-0.05682035666614322
Aaron Gordon,Right Corner 3,23,36,27.084991,8.915008544921875,1.1776083241338315,0.3876090671705163
Aaron Holiday,Above the Break 3,144,165,149.1594,15.840606689453125,1.035829120212131,0.11000421312120226
Aaron Holiday,In The Paint (Non-RA),42,36,36.197224,-0.19722366333007812,0.8618386586507162,-0.0046958015078590026
Aaron Holiday,Left Corner 3,17,30,19.471329,10.528671264648438,1.145372278550092,0.6193336038028493
Aaron Holiday,Mid-Range,22,22,18.034012,3.9659881591796875,0.8197278109463778,0.18027218905362216
Aaron Holiday,Restricted Area,22,32,27.835491,4.164508819580078,1.2652495991099963,0.1892958554354581
Aaron Holiday,Right Corner 3,9,9,10.08392,-1.0839195251464844,1.1204355027940538,-0.12043550279405382
Aaron Nesmith,Above the Break 3,117,135,126.04341,8.956588745117188,1.0772941132895968,0.07655204055655716
Aaron Nesmith,In The Paint (Non-RA),49,48,41.183422,6.816577911376953,0.8404780018086336,0.13911383492606028
Aaron Nesmith,Left Corner 3,29,36,33.28487,2.715129852294922,1.147754143024313,0.09362516732051454
Aaron Nesmith,Mid-Range,30,30,26.009079,3.9909210205078125,0.8669692993164062,0.13303070068359374
Aaron Nesmith,Restricted Area,92,128,114.204735,13.795265197753906,1.2413558130678923,0.14994853475819464
Aaron Nesmith,Right Corner 3,38,63,44.517693,18.48230743408203,1.1715182254188938,0.48637651142321137
Aaron Wiggins,Above the Break 3,222,267,236.13899,30.861007690429688,1.063689154547614,0.13901354815508868
Aaron Wiggins,Backcourt,1,0,0.12768145,-0.1276814490556717,0.1276814490556717,-0.1276814490556717
Aaron Wiggins,In The Paint (Non-RA),110,88,94.3614,-6.361396789550781,0.8578308799050071,-0.057830879905007106
Aaron Wiggins,Left Corner 3,48,51,54.370285,-3.3702850341796875,1.1327142715454102,-0.07021427154541016
Aaron Wiggins,Mid-Range,36,28,30.514069,-2.514068603515625,0.8476130167643229,-0.06983523898654515
Aaron Wiggins,Restricted Area,214,298,279.3065,18.693511962890625,1.3051705048463056,0.08735285963967582
Aaron Wiggins,Right Corner 3,33,33,38.25238,-5.25238037109375,1.1591630415482954,-0.15916304154829544
Adam Flagler,Above the Break 3,63,42,66.487404,-24.487403869628906,1.0553556169782365,-0.3886889503115699
Adam Flagler,In The Paint (Non-RA),7,4,5.9729095,-1.9729094505310059,0.8532727786472866,-0.2818442072187151
Adam Flagler,Left Corner 3,4,0,4.571082,-4.57108211517334,1.142770528793335,-1.142770528793335
Adam Flagler,Mid-Range,10,10,8.431838,1.568161964416504,0.8431838035583497,0.1568161964416504
Adam Flagler,Restricted Area,5,6,6.766487,-0.7664871215820312,1.3532974243164062,-0.15329742431640625
Adam Flagler,Right Corner 3,4,0,4.429577,-4.429576873779297,1.1073942184448242,-1.1073942184448242
Adama Sanogo,In The Paint (Non-RA),2,2,1.74338,0.25662004947662354,0.8716899752616882,0.12831002473831177
